Shipment_ID,Plant_ID,Shipment_Date,Mode_of_Transport,Weight_Tons,Distance_KM
SHP_01029,PLNT_01,06-09-2025,Ocean Cargo,24.06,5749.54
SHP_01030,PLNT_02,12-07-2024,Heavy Truck,11.16,93.85
SHP_01031,PLNT_02,27-09-2024,Ocean Cargo,3.17,4419.67
SHP_01032,PLNT_04,04-12-2024,Ocean Cargo,2.88,5959.16
SHP_01033,PLNT_03,11-11-2025,Heavy Truck,22.37,639.16
SHP_01034,PLNT_02,02-04-2026,Air Freight,2.92,1683.61
SHP_01035,PLNT_02,20-03-2025,Heavy Truck,2.3,223.77
SHP_01036,PLNT_03,16-04-2024,Ocean Cargo,18.34,7121.63
SHP_01037,PLNT_05,12-07-2025,Heavy Truck,15.81,675.59
SHP_01038,PLNT_04,19-05-2024,Heavy Truck,19.31,519.35
SHP_01039,PLNT_03,16-08-2026,Ocean Cargo,2.18,10375.65
SHP_01040,PLNT_05,19-11-2024,Rail,13.65,336.01
SHP_01041,PLNT_01,16-06-2024,Heavy Truck,6.75,709.82
SHP_01042,PLNT_01,22-11-2025,Heavy Truck,16.77,166.9
SHP_01043,PLNT_02,16-10-2025,Heavy Truck,1.95,390.21
SHP_01044,PLNT_04,09-03-2025,Ocean Cargo,23.33,5905.68
SHP_01045,PLNT_01,03-05-2024,Ocean Cargo,24.88,11861.78
SHP_01046,PLNT_02,03-06-2026,Heavy Truck,8.31,455.44
SHP_01047,PLNT_03,22-09-2026,Heavy Truck,20.76,53.18
SHP_01048,PLNT_04,01-02-2025,Heavy Truck,22.03,472.95
SHP_01049,PLNT_05,09-12-2025,Ocean Cargo,14.45,8908.87
SHP_01050,PLNT_03,24-09-2025,Ocean Cargo,24.47,4739.73
SHP_01051,PLNT_01,17-03-2024,Heavy Truck,22.55,507.25
SHP_01052,PLNT_04,04-07-2026,Heavy Truck,9.41,541.74
SHP_01053,PLNT_05,08-10-2024,Heavy Truck,7.12,731.98
SHP_01054,PLNT_02,25-12-2024,Heavy Truck,14.2,162.17
SHP_01055,PLNT_04,21-08-2024,Heavy Truck,6.35,777.3
SHP_01056,PLNT_02,01-10-2026,Heavy Truck,23.87,614.53
SHP_01057,PLNT_02,18-04-2025,Ocean Cargo,11.86,8156.29
SHP_01058,PLNT_02,20-12-2025,Heavy Truck,9.78,375.28
SHP_01059,PLNT_03,07-05-2025,Ocean Cargo,7.84,1533.85
SHP_01060,PLNT_01,12-08-2026,Heavy Truck,2.51,282.62
SHP_01061,PLNT_05,02-01-2025,Ocean Cargo,13.58,640.76
SHP_01062,PLNT_03,03-09-2026,Ocean Cargo,2.93,7162.61
SHP_01063,PLNT_05,26-11-2026,Heavy Truck,21.29,633.8
SHP_01064,PLNT_02,09-05-2025,Heavy Truck,22.34,277.55
SHP_01065,PLNT_01,15-05-2026,Ocean Cargo,23.38,8547.91
SHP_01066,PLNT_02,04-05-2025,Ocean Cargo,12.19,8898.7
SHP_01067,PLNT_03,12-09-2024,Ocean Cargo,4.53,6992.59
SHP_01068,PLNT_03,13-12-2025,Heavy Truck,8.87,508.39
SHP_01069,PLNT_05,27-08-2025,Ocean Cargo,4.91,2575.3
SHP_01070,PLNT_02,20-02-2026,Heavy Truck,8.38,195.19
SHP_01071,PLNT_02,01-08-2024,Heavy Truck,6.24,363.62
SHP_01072,PLNT_04,22-12-2024,Ocean Cargo,22.82,6887.53
SHP_01073,PLNT_05,17-06-2024,Ocean Cargo,8.07,560.05
SHP_01074,PLNT_05,04-06-2026,Heavy Truck,23.48,198.24
SHP_01075,PLNT_05,17-05-2026,Ocean Cargo,20.7,4051.78
SHP_01076,PLNT_04,12-07-2025,Ocean Cargo,3.26,10644.27
SHP_01077,PLNT_03,09-08-2026,Heavy Truck,6.27,92.14
SHP_01078,PLNT_01,18-11-2024,Heavy Truck,22.77,729.47
SHP_01079,PLNT_05,10-10-2024,Heavy Truck,23.12,366.79
SHP_01080,PLNT_01,02-09-2026,Ocean Cargo,8.92,2066.48
SHP_01081,PLNT_05,01-01-2025,Ocean Cargo,13.16,7880.05
SHP_01082,PLNT_02,13-03-2024,Heavy Truck,9.62,512.68
SHP_01083,PLNT_04,13-07-2026,Ocean Cargo,21.89,284.96
SHP_01084,PLNT_05,27-04-2024,Heavy Truck,15.66,342.85
SHP_01085,PLNT_04,08-07-2026,Heavy Truck,9.32,57.7
SHP_01086,PLNT_02,13-09-2026,Heavy Truck,21.06,512.15
SHP_01087,PLNT_01,24-05-2026,Ocean Cargo,6.07,4742.95
SHP_01088,PLNT_05,07-03-2025,Heavy Truck,12.16,552.8
SHP_01089,PLNT_02,03-06-2025,Heavy Truck,16.43,58.12
SHP_01090,PLNT_02,03-11-2024,Heavy Truck,6.64,359.54
SHP_01091,PLNT_01,03-02-2026,Ocean Cargo,20.73,4973.5
SHP_01092,PLNT_04,23-07-2024,Heavy Truck,11.08,684.86
SHP_01093,PLNT_02,20-02-2024,Heavy Truck,10.84,108.87
SHP_01094,PLNT_03,16-04-2024,Heavy Truck,17.36,671.84
SHP_01095,PLNT_01,07-01-2024,Air Freight,21.89,4974.98
SHP_01096,PLNT_02,02-09-2026,Heavy Truck,17.44,726.91
SHP_01097,PLNT_05,07-04-2024,Ocean Cargo,17.74,6595.4
SHP_01098,PLNT_05,24-12-2026,Heavy Truck,1.99,575.03
SHP_01099,PLNT_05,09-02-2026,Heavy Truck,13.66,510.42
SHP_01100,PLNT_01,11-03-2024,Heavy Truck,6.86,257.51
SHP_01101,PLNT_03,02-11-2025,Ocean Cargo,22.12,2754
SHP_01102,PLNT_02,22-12-2024,Air Freight,16.73,6077.23
SHP_01103,PLNT_01,03-06-2025,Ocean Cargo,10,11253.08
SHP_01104,PLNT_03,17-09-2026,Ocean Cargo,11.57,7671.58
SHP_01105,PLNT_04,14-07-2025,Ocean Cargo,7.78,1464.06
SHP_01106,PLNT_02,05-05-2024,Heavy Truck,24.7,366.18
SHP_01107,PLNT_02,02-07-2026,Heavy Truck,18.76,438.42
SHP_01108,PLNT_03,24-04-2024,Heavy Truck,4.5,454.44
SHP_01109,PLNT_05,10-11-2026,Ocean Cargo,21.69,9296.07
SHP_01110,PLNT_02,04-06-2025,Ocean Cargo,15.16,7067.16
SHP_01111,PLNT_01,23-10-2024,Heavy Truck,3.14,345.98
SHP_01112,PLNT_04,24-03-2024,Ocean Cargo,9.53,7542.08
SHP_01113,PLNT_01,23-05-2026,Ocean Cargo,18.56,6629.35
SHP_01114,PLNT_04,21-06-2024,Rail,3.93,709.15
SHP_01115,PLNT_04,10-12-2024,Air Freight,8.93,4887.43
SHP_01116,PLNT_03,04-09-2025,Heavy Truck,5.45,609.19
SHP_01117,PLNT_04,14-04-2024,Ocean Cargo,20.99,2042.57
SHP_01118,PLNT_02,24-06-2025,Heavy Truck,9.96,342.34
SHP_01119,PLNT_05,22-04-2024,Rail,13.6,521.65
SHP_01120,PLNT_03,18-10-2024,Ocean Cargo,13.46,8036.55
SHP_01121,PLNT_05,14-01-2025,Ocean Cargo,23.53,1233.34
SHP_01122,PLNT_01,22-11-2026,Heavy Truck,15.61,311.65
SHP_01123,PLNT_04,07-12-2026,Ocean Cargo,6.73,5346.15
SHP_01124,PLNT_03,17-07-2025,Ocean Cargo,6,7099.83
SHP_01125,PLNT_01,02-04-2025,Rail,23.05,140.42
SHP_01126,PLNT_03,19-06-2025,Heavy Truck,16.75,512.33
SHP_01127,PLNT_05,23-04-2026,Ocean Cargo,8.32,3983.26
SHP_01128,PLNT_03,04-11-2026,Heavy Truck,13.19,762.6
SHP_01129,PLNT_05,27-10-2025,Ocean Cargo,4.52,4501.9
SHP_01130,PLNT_01,22-02-2024,Ocean Cargo,10.36,10874.66
SHP_01131,PLNT_03,10-02-2026,Rail,23.02,201.6
SHP_01132,PLNT_04,07-01-2024,Heavy Truck,15.6,547.16
SHP_01133,PLNT_05,24-09-2024,Heavy Truck,10.86,57.39
SHP_01134,PLNT_04,27-12-2026,Heavy Truck,19.35,777.78
SHP_01135,PLNT_03,26-03-2024,Ocean Cargo,8.16,8484.05
SHP_01136,PLNT_02,05-08-2024,Heavy Truck,24.64,401.61
SHP_01137,PLNT_01,04-04-2024,Rail,13.15,335.71
SHP_01138,PLNT_03,15-03-2025,Heavy Truck,17.01,707.51
SHP_01139,PLNT_01,06-02-2026,Ocean Cargo,11.45,11009.07
SHP_01140,PLNT_05,11-11-2024,Heavy Truck,20.57,581.22
SHP_01141,PLNT_01,15-05-2025,Heavy Truck,6.27,180.06
SHP_01142,PLNT_03,05-06-2024,Ocean Cargo,11.65,5139.15
SHP_01143,PLNT_05,04-02-2024,Ocean Cargo,13.43,11955.68
SHP_01144,PLNT_02,11-12-2026,Heavy Truck,20.19,76.78
SHP_01145,PLNT_04,11-03-2025,Heavy Truck,5.12,61.22
SHP_01146,PLNT_02,17-12-2025,Heavy Truck,13.79,422.78
SHP_01147,PLNT_03,23-03-2025,Ocean Cargo,9.3,4175.14
SHP_01148,PLNT_04,10-03-2026,Rail,2.05,504.35
SHP_01149,PLNT_03,14-07-2024,Ocean Cargo,23.81,7207.48
SHP_01150,PLNT_03,20-10-2024,Heavy Truck,7.97,644.12
SHP_01151,PLNT_03,26-08-2024,Heavy Truck,9.39,367.75
SHP_01152,PLNT_03,17-05-2026,Heavy Truck,4.33,365
SHP_01153,PLNT_02,26-08-2024,Ocean Cargo,23.46,11521.27
SHP_01154,PLNT_04,12-09-2025,Rail,15.91,797.75
SHP_01155,PLNT_02,27-04-2026,Heavy Truck,14.24,524.51
SHP_01156,PLNT_02,23-07-2024,Heavy Truck,13.52,494.97
SHP_01157,PLNT_02,09-12-2025,Rail,16.55,625.99
SHP_01158,PLNT_01,26-03-2024,Heavy Truck,24.68,363.9
SHP_01159,PLNT_03,15-08-2026,Ocean Cargo,2.64,1592.54
SHP_01160,PLNT_04,21-10-2026,Heavy Truck,23.32,231.35
SHP_01161,PLNT_04,12-06-2024,Ocean Cargo,21.14,691.53
SHP_01162,PLNT_05,17-09-2026,Ocean Cargo,10.98,4609.17
SHP_01163,PLNT_03,16-02-2024,Heavy Truck,24.96,321.91
SHP_01164,PLNT_05,13-11-2024,Heavy Truck,18.67,740.02
SHP_01165,PLNT_03,20-05-2024,Heavy Truck,2.08,429.9
SHP_01166,PLNT_01,23-04-2024,Heavy Truck,9.12,622.67
SHP_01167,PLNT_04,12-12-2026,Ocean Cargo,15.59,2872.08
SHP_01168,PLNT_04,12-04-2024,Heavy Truck,23.57,280.88
SHP_01169,PLNT_04,23-12-2024,Heavy Truck,6.77,226.71
SHP_01170,PLNT_02,18-05-2024,Ocean Cargo,24.32,11482.15
SHP_01171,PLNT_01,01-10-2024,Heavy Truck,8.01,232.79
SHP_01172,PLNT_01,12-08-2026,Heavy Truck,16.54,342.86
SHP_01173,PLNT_04,18-07-2026,Ocean Cargo,4.94,2271.94
SHP_01174,PLNT_02,04-10-2024,Heavy Truck,24.45,174.07
SHP_01175,PLNT_04,07-10-2026,Ocean Cargo,21.67,8395.15
SHP_01176,PLNT_03,18-05-2026,Heavy Truck,13.96,770.42
SHP_01177,PLNT_04,05-03-2024,Ocean Cargo,16.4,1737.44
SHP_01178,PLNT_03,15-03-2026,Ocean Cargo,7.88,10384.5
SHP_01179,PLNT_05,06-01-2024,Ocean Cargo,15.2,10126.07
SHP_01180,PLNT_03,08-07-2024,Heavy Truck,1.88,707.88
SHP_01181,PLNT_05,04-08-2025,Heavy Truck,2.94,428.07
SHP_01182,PLNT_01,08-01-2024,Ocean Cargo,22.39,8517.68
SHP_01183,PLNT_01,07-04-2024,Ocean Cargo,15.79,1653.11
SHP_01184,PLNT_05,09-09-2025,Air Freight,15.14,9407.74
SHP_01185,PLNT_05,19-04-2025,Rail,2.6,59.91
SHP_01186,PLNT_05,09-11-2025,Ocean Cargo,20.99,3831.95
SHP_01187,PLNT_02,05-08-2026,Heavy Truck,23.41,414.96
SHP_01188,PLNT_04,21-10-2024,Ocean Cargo,20.29,3420.73
SHP_01189,PLNT_01,11-02-2026,Ocean Cargo,15.88,10663.78
SHP_01190,PLNT_03,21-05-2024,Air Freight,5.02,4477.97
SHP_01191,PLNT_04,24-09-2024,Heavy Truck,21.99,339.4
SHP_01192,PLNT_05,21-06-2024,Ocean Cargo,23.75,2584.54
SHP_01193,PLNT_05,19-11-2025,Heavy Truck,19.41,57.21
SHP_01194,PLNT_02,16-06-2024,Rail,9.17,364.49
SHP_01195,PLNT_05,19-04-2025,Heavy Truck,1.83,747.95
SHP_01196,PLNT_01,06-04-2025,Ocean Cargo,11.06,9405.52
SHP_01197,PLNT_02,10-07-2024,Air Freight,4.68,3588.61
SHP_01198,PLNT_04,16-09-2026,Ocean Cargo,24.53,4205.94
SHP_01199,PLNT_03,04-10-2026,Ocean Cargo,19.86,656.93
SHP_01200,PLNT_03,12-08-2025,Heavy Truck,15.2,605.67
SHP_01201,PLNT_05,25-06-2024,Rail,16.03,738.58
SHP_01202,PLNT_04,27-04-2026,Ocean Cargo,10.34,4462.1
SHP_01203,PLNT_04,15-08-2026,Heavy Truck,15.38,445.29
SHP_01204,PLNT_04,25-11-2025,Heavy Truck,18.75,319.26
SHP_01205,PLNT_02,06-05-2024,Ocean Cargo,11.03,180.23
SHP_01206,PLNT_03,20-07-2025,Ocean Cargo,15.42,10328.51
SHP_01207,PLNT_02,16-05-2025,Heavy Truck,22.53,605.19
SHP_01208,PLNT_05,18-10-2024,Ocean Cargo,4.58,3952.81
SHP_01209,PLNT_02,03-03-2024,Ocean Cargo,7.07,1059.44
SHP_01210,PLNT_01,10-08-2024,Ocean Cargo,20.47,8882.56
SHP_01211,PLNT_03,04-03-2024,Heavy Truck,14.88,240.61
SHP_01212,PLNT_02,23-12-2026,Rail,23.84,93.36
SHP_01213,PLNT_04,14-04-2024,Ocean Cargo,22.87,1961.58
SHP_01214,PLNT_04,15-09-2024,Ocean Cargo,13.74,1686.64
SHP_01215,PLNT_04,15-02-2025,Ocean Cargo,14.47,4032.9
SHP_01216,PLNT_05,11-08-2026,Ocean Cargo,18.91,9593.34
SHP_01217,PLNT_02,07-05-2025,Heavy Truck,18.88,306.58
SHP_01218,PLNT_02,14-12-2026,Rail,2.2,594.45
SHP_01219,PLNT_03,27-12-2026,Ocean Cargo,19.64,6826.15
SHP_01220,PLNT_05,01-11-2026,Air Freight,2.96,9048.63
SHP_01221,PLNT_03,07-07-2025,Rail,15.34,325.86
SHP_01222,PLNT_05,12-07-2025,Ocean Cargo,10.73,298.29
SHP_01223,PLNT_05,19-03-2026,Rail,24.89,662.3
SHP_01224,PLNT_03,23-07-2025,Heavy Truck,24.54,123.36
SHP_01225,PLNT_03,23-06-2024,Ocean Cargo,20.52,11718.88
SHP_01226,PLNT_02,02-02-2024,Ocean Cargo,9.04,9720.23
SHP_01227,PLNT_04,02-06-2025,Heavy Truck,22.81,190.35
SHP_01228,PLNT_03,17-08-2025,Heavy Truck,9.31,512.34
SHP_01229,PLNT_04,11-07-2026,Heavy Truck,4.11,428.49
SHP_01230,PLNT_04,06-01-2024,Heavy Truck,7.92,135.51
SHP_01231,PLNT_05,25-03-2025,Ocean Cargo,15.1,2904.53
SHP_01232,PLNT_04,19-11-2026,Heavy Truck,5.6,365.18
SHP_01233,PLNT_02,17-08-2025,Heavy Truck,10.55,378.42
SHP_01234,PLNT_01,13-01-2026,Ocean Cargo,2.93,953.28
SHP_01235,PLNT_04,27-08-2024,Heavy Truck,9.7,717.07
SHP_01236,PLNT_04,10-11-2024,Air Freight,20.27,9406.78
SHP_01237,PLNT_02,17-08-2025,Heavy Truck,7.08,176.04
SHP_01238,PLNT_05,13-03-2026,Heavy Truck,16.83,118.91
SHP_01239,PLNT_02,02-05-2024,Heavy Truck,20.74,525.75
SHP_01240,PLNT_01,14-09-2026,Heavy Truck,7.62,435.84
SHP_01241,PLNT_03,13-11-2025,Air Freight,24.62,3541.89
SHP_01242,PLNT_01,07-11-2025,Heavy Truck,15.77,514.8
SHP_01243,PLNT_05,10-12-2026,Rail,16.14,402.25
SHP_01244,PLNT_01,04-02-2025,Heavy Truck,17.29,577.22
SHP_01245,PLNT_01,09-08-2025,Air Freight,21.2,2734
SHP_01246,PLNT_04,20-12-2025,Heavy Truck,7.9,182.88
SHP_01247,PLNT_03,10-09-2025,Heavy Truck,9.46,424.47
SHP_01248,PLNT_04,27-12-2026,Heavy Truck,11.22,606.25
SHP_01249,PLNT_04,01-09-2025,Ocean Cargo,15.14,10107.85
SHP_01250,PLNT_01,26-09-2026,Rail,22.53,619.97
SHP_01251,PLNT_03,07-04-2024,Rail,12.3,340.63
SHP_01252,PLNT_03,22-03-2025,Heavy Truck,23.61,491.09
SHP_01253,PLNT_03,19-08-2025,Ocean Cargo,2.31,1260.09
SHP_01254,PLNT_02,08-07-2024,Heavy Truck,17.96,559.29
SHP_01255,PLNT_04,09-03-2026,Rail,8.88,636.5
SHP_01256,PLNT_05,23-10-2024,Heavy Truck,4.21,471.79
SHP_01257,PLNT_02,08-03-2024,Air Freight,24.3,7602.32
SHP_01258,PLNT_01,10-10-2026,Ocean Cargo,10.71,8375.72
SHP_01259,PLNT_04,10-02-2024,Ocean Cargo,7.53,11001.56
SHP_01260,PLNT_05,06-09-2024,Heavy Truck,6.33,569.82
SHP_01261,PLNT_05,02-05-2024,Heavy Truck,20.51,288.87
SHP_01262,PLNT_02,05-10-2024,Heavy Truck,2.14,780.84
SHP_01263,PLNT_05,23-02-2025,Ocean Cargo,20.96,10615.12
SHP_01264,PLNT_01,16-06-2025,Ocean Cargo,7.17,3032.22
SHP_01265,PLNT_02,09-06-2026,Ocean Cargo,9.93,773.99
SHP_01266,PLNT_05,25-08-2024,Heavy Truck,8.73,486.45
SHP_01267,PLNT_05,24-04-2026,Heavy Truck,7.61,216.23
SHP_01268,PLNT_02,18-01-2026,Ocean Cargo,21.95,5229.94
SHP_01269,PLNT_04,26-11-2024,Heavy Truck,1.82,513.37
SHP_01270,PLNT_04,13-09-2026,Heavy Truck,4.72,505.28
SHP_01271,PLNT_05,23-11-2026,Heavy Truck,15.9,470.5
SHP_01272,PLNT_05,05-10-2024,Rail,20.7,493.27
SHP_01273,PLNT_04,11-09-2026,Heavy Truck,13.2,745.71
SHP_01274,PLNT_03,22-05-2024,Ocean Cargo,22.2,1190.1
SHP_01275,PLNT_05,12-02-2026,Heavy Truck,19.69,467.83
SHP_01276,PLNT_05,26-05-2025,Air Freight,8.51,9644.47
SHP_01277,PLNT_04,10-12-2025,Ocean Cargo,18.04,5439.75
SHP_01278,PLNT_05,17-03-2026,Heavy Truck,2.43,731.35
SHP_01279,PLNT_01,09-12-2025,Ocean Cargo,19.03,5393.09
SHP_01280,PLNT_04,23-01-2025,Ocean Cargo,13.19,10517.17
SHP_01281,PLNT_03,07-03-2025,Ocean Cargo,15.69,3030.89
SHP_01282,PLNT_05,12-01-2025,Ocean Cargo,12.9,10837
SHP_01283,PLNT_01,03-12-2024,Ocean Cargo,21.84,5689.96
SHP_01284,PLNT_05,01-08-2026,Ocean Cargo,16.76,6869.09
SHP_01285,PLNT_01,15-07-2024,Heavy Truck,10.8,605.64
SHP_01286,PLNT_03,23-06-2026,Heavy Truck,13.87,656.15
SHP_01287,PLNT_04,25-12-2025,Ocean Cargo,13.06,5350.63
SHP_01288,PLNT_04,07-07-2025,Rail,2.55,700.5
SHP_01289,PLNT_05,18-10-2026,Ocean Cargo,10.5,393.83
SHP_01290,PLNT_03,25-09-2026,Ocean Cargo,18.06,5902.09
SHP_01291,PLNT_05,27-04-2025,Ocean Cargo,14.31,6661.53
SHP_01292,PLNT_02,16-05-2026,Ocean Cargo,13.25,11937.45
SHP_01293,PLNT_05,18-07-2026,Rail,22.89,253.76
SHP_01294,PLNT_03,22-03-2026,Heavy Truck,12.21,448.6
SHP_01295,PLNT_02,03-08-2024,Heavy Truck,23.25,616.93
SHP_01296,PLNT_04,14-10-2024,Ocean Cargo,10.7,10739.99
SHP_01297,PLNT_04,24-06-2026,Heavy Truck,6.86,188.58
SHP_01298,PLNT_03,04-01-2026,Ocean Cargo,7.37,10277.94
SHP_01299,PLNT_01,27-08-2024,Ocean Cargo,10.18,9012.65
SHP_01300,PLNT_02,24-04-2025,Heavy Truck,12.67,248.19
SHP_01301,PLNT_05,20-11-2025,Heavy Truck,13.37,495.02
SHP_01302,PLNT_04,11-11-2024,Ocean Cargo,17.16,6762.39
SHP_01303,PLNT_04,17-03-2026,Rail,4.45,318.97
SHP_01304,PLNT_03,07-02-2026,Heavy Truck,11.41,171.58
SHP_01305,PLNT_03,01-06-2026,Heavy Truck,1.72,493.02
SHP_01306,PLNT_03,21-01-2024,Heavy Truck,16.06,740.08
SHP_01307,PLNT_01,21-08-2025,Rail,19.53,206.99
SHP_01308,PLNT_01,25-07-2024,Heavy Truck,20.57,376.22
SHP_01309,PLNT_03,02-05-2024,Heavy Truck,18.39,109.93
SHP_01310,PLNT_04,21-01-2026,Heavy Truck,22.11,263.41
SHP_01311,PLNT_03,15-04-2026,Ocean Cargo,11.35,11856.2
SHP_01312,PLNT_02,16-09-2025,Heavy Truck,8.34,566.41
SHP_01313,PLNT_03,23-07-2025,Heavy Truck,7.52,52.13
SHP_01314,PLNT_02,26-12-2025,Ocean Cargo,18.14,3816.07
SHP_01315,PLNT_05,12-04-2025,Rail,11.43,270.95
SHP_01316,PLNT_01,07-02-2025,Air Freight,21.1,6199.6
SHP_01317,PLNT_04,23-08-2024,Heavy Truck,4.43,432.17
SHP_01318,PLNT_05,14-02-2024,Heavy Truck,8.14,291.89
SHP_01319,PLNT_01,27-07-2025,Ocean Cargo,1.94,2830.59
SHP_01320,PLNT_04,21-09-2024,Heavy Truck,22.93,78.21
SHP_01321,PLNT_05,26-10-2026,Heavy Truck,22.6,159.87
SHP_01322,PLNT_01,17-09-2026,Ocean Cargo,6.83,4640.19
SHP_01323,PLNT_02,06-06-2024,Heavy Truck,8.06,62.13
SHP_01324,PLNT_03,04-09-2026,Ocean Cargo,24.39,11933.05
SHP_01325,PLNT_05,17-05-2026,Heavy Truck,22.97,159.8
SHP_01326,PLNT_01,20-10-2025,Heavy Truck,4.26,517.69
SHP_01327,PLNT_03,19-07-2024,Heavy Truck,7.79,768.18
SHP_01328,PLNT_04,15-01-2024,Ocean Cargo,6.03,4232.67
SHP_01329,PLNT_05,06-09-2026,Ocean Cargo,10.66,6198.52
SHP_01330,PLNT_01,05-12-2025,Ocean Cargo,22.86,4554.01
SHP_01331,PLNT_01,02-01-2026,Heavy Truck,1.7,703.34
SHP_01332,PLNT_05,14-01-2024,Heavy Truck,16.16,692.42
SHP_01333,PLNT_04,17-05-2024,Heavy Truck,8.53,175.11
SHP_01334,PLNT_03,16-07-2026,Heavy Truck,17.41,154.46
SHP_01335,PLNT_04,14-12-2026,Air Freight,10.35,7308.93
SHP_01336,PLNT_02,12-08-2025,Heavy Truck,18.37,127.57
SHP_01337,PLNT_01,03-10-2024,Ocean Cargo,9.77,352.21
SHP_01338,PLNT_02,14-03-2025,Rail,11.94,428.67
SHP_01339,PLNT_05,15-11-2025,Ocean Cargo,11.17,9651.34
SHP_01340,PLNT_04,20-08-2025,Heavy Truck,12.62,642.4
SHP_01341,PLNT_03,03-12-2026,Heavy Truck,12.27,362.29
SHP_01342,PLNT_01,17-10-2025,Rail,14.85,544.14
SHP_01343,PLNT_05,18-05-2024,Rail,12.23,552.01
SHP_01344,PLNT_04,14-10-2025,Ocean Cargo,9.08,4209.22
SHP_01345,PLNT_02,11-08-2026,Heavy Truck,1.73,412.63
SHP_01346,PLNT_02,07-06-2024,Ocean Cargo,11.46,7112.92
SHP_01347,PLNT_05,04-05-2025,Heavy Truck,8.88,757.79
SHP_01348,PLNT_04,08-08-2026,Rail,5.08,697.83
SHP_01349,PLNT_03,06-02-2024,Ocean Cargo,5.52,6616.94
SHP_01350,PLNT_02,15-08-2025,Air Freight,20.08,656.51
SHP_01351,PLNT_04,23-11-2026,Heavy Truck,23.27,666.13
SHP_01352,PLNT_01,24-02-2024,Rail,10.32,160.68
SHP_01353,PLNT_02,16-05-2026,Ocean Cargo,24.14,9483.17
SHP_01354,PLNT_05,24-07-2024,Ocean Cargo,16.83,9421.53
SHP_01355,PLNT_04,12-02-2025,Rail,8.5,590.49
SHP_01356,PLNT_04,27-01-2024,Heavy Truck,17.22,325.83
SHP_01357,PLNT_02,24-02-2026,Heavy Truck,24.01,457.34
SHP_01358,PLNT_01,12-10-2025,Heavy Truck,15.27,626.71
SHP_01359,PLNT_02,05-04-2026,Heavy Truck,15.39,121.94
SHP_01360,PLNT_05,19-11-2026,Heavy Truck,14.55,793.05
SHP_01361,PLNT_01,01-08-2026,Ocean Cargo,21.38,5196.27
SHP_01362,PLNT_02,14-07-2026,Ocean Cargo,17.24,11584.2
SHP_01363,PLNT_04,03-02-2025,Heavy Truck,21.65,624.74
SHP_01364,PLNT_04,16-11-2026,Air Freight,12.49,10010.9
SHP_01365,PLNT_04,18-11-2024,Heavy Truck,10.96,594.07
SHP_01366,PLNT_03,04-05-2024,Heavy Truck,9.53,131.66
SHP_01367,PLNT_02,13-10-2024,Heavy Truck,21.18,751.16
SHP_01368,PLNT_02,03-09-2024,Ocean Cargo,1.51,10019.49
SHP_01369,PLNT_02,10-12-2026,Ocean Cargo,5.03,5429.52
SHP_01370,PLNT_02,02-12-2026,Heavy Truck,6.88,482.05
SHP_01371,PLNT_03,13-05-2026,Ocean Cargo,15.45,1240.76
SHP_01372,PLNT_01,05-06-2024,Ocean Cargo,7.15,7629.33
SHP_01373,PLNT_03,02-01-2026,Heavy Truck,20.66,235.47
SHP_01374,PLNT_03,20-02-2024,Heavy Truck,4.25,53.11
SHP_01375,PLNT_05,07-04-2024,Heavy Truck,12.44,486.18
SHP_01376,PLNT_04,23-06-2026,Ocean Cargo,21.39,4982.48
SHP_01377,PLNT_01,08-12-2026,Heavy Truck,13.83,455.09
SHP_01378,PLNT_03,03-01-2025,Ocean Cargo,5.1,1070.56
SHP_01379,PLNT_04,10-06-2024,Heavy Truck,23.89,506.77
SHP_01380,PLNT_01,03-03-2026,Rail,10.95,565.37
SHP_01381,PLNT_02,09-03-2024,Ocean Cargo,14.42,5293.75
SHP_01382,PLNT_01,23-02-2024,Ocean Cargo,15.54,10409.22
SHP_01383,PLNT_05,14-04-2026,Ocean Cargo,19.55,4988.38
SHP_01384,PLNT_01,25-12-2026,Ocean Cargo,12.93,2674.46
SHP_01385,PLNT_02,18-10-2024,Rail,15.52,405.44
SHP_01386,PLNT_01,08-10-2025,Rail,18.33,349.81
SHP_01387,PLNT_01,13-11-2025,Heavy Truck,23.51,687.92
SHP_01388,PLNT_05,01-07-2026,Heavy Truck,3.91,496.69
SHP_01389,PLNT_03,13-05-2026,Ocean Cargo,19.14,4947.4
SHP_01390,PLNT_03,15-03-2025,Ocean Cargo,12.27,2387.1
SHP_01391,PLNT_03,01-11-2026,Ocean Cargo,23.52,893.43
SHP_01392,PLNT_02,03-08-2026,Heavy Truck,19.23,447.87
SHP_01393,PLNT_03,06-11-2025,Heavy Truck,11.71,632.41
SHP_01394,PLNT_04,12-04-2026,Heavy Truck,8.09,680.4
SHP_01395,PLNT_04,20-03-2026,Ocean Cargo,13.56,8644.49
SHP_01396,PLNT_05,03-06-2025,Rail,13.29,459.82
SHP_01397,PLNT_04,14-06-2025,Ocean Cargo,24.08,243.74
SHP_01398,PLNT_03,09-11-2026,Ocean Cargo,15.99,5545.15
SHP_01399,PLNT_04,26-10-2024,Heavy Truck,11.82,700.04
SHP_01400,PLNT_01,17-10-2026,Heavy Truck,21.17,791.56
SHP_01401,PLNT_04,16-02-2024,Ocean Cargo,3.16,5077.03
SHP_01402,PLNT_05,27-04-2026,Heavy Truck,17.43,252.61
